Date,Median_Sale_Price,Average_Sale_Price,County
1-Jan,393638.73,646535.35,Fairfield
1-Feb,374604.75,652568.27,Fairfield
1-Mar,400118.38,619265.04,Fairfield
1-Apr,396878.55,617362.17,Fairfield
1-May,427616.39,613559.53,Fairfield
1-Jun,453575.49,689000.49,Fairfield
1-Jul,461675.05,698997.41,Fairfield
1-Aug,477064.22,730031.12,Fairfield
1-Sep,417937.41,612745.04,Fairfield
1-Oct,396878.55,572847.76,Fairfield
1-Nov,417937.41,572579.86,Fairfield
1-Dec,413077.67,633079.3,Fairfield
2-Jan,430506.89,633222.73,Fairfield
2-Feb,397023.02,604258.22,Fairfield
2-Mar,441668.18,684075.45,Fairfield
2-Apr,446451.59,638218,Fairfield
2-May,478340.99,740853.21,Fairfield
2-Jun,559499.52,804360.38,Fairfield
2-Jul,534147.44,828354.97,Fairfield
2-Aug,540525.32,753016.07,Fairfield
2-Sep,462396.29,696420.06,Fairfield
2-Oct,486313.34,667295.11,Fairfield
2-Nov,462396.29,678106.03,Fairfield
2-Dec,478340.99,651593.34,Fairfield
3-Jan,441877.89,680759.56,Fairfield
3-Feb,446943.51,616872.15,Fairfield
3-Mar,452009.13,615925.51,Fairfield
3-Apr,482324.92,660822.87,Fairfield
3-May,506561.96,721155.28,Fairfield
3-Jun,544748.93,753881.74,Fairfield
3-Jul,553321.52,800517.24,Fairfield
3-Aug,556438.83,839578.22,Fairfield
3-Sep,522148.48,743777.11,Fairfield
3-Oct,498768.7,727960.59,Fairfield
3-Nov,490975.43,738507.85,Fairfield
3-Dec,529941.74,751867.16,Fairfield
4-Jan,516172.46,796876.58,Fairfield
4-Feb,498713.69,781610.05,Fairfield
4-Mar,508581.69,750256.95,Fairfield
4-Apr,557162.63,879050.62,Fairfield
4-May,563994.33,882326.76,Fairfield
4-Jun,599670.95,909539.2,Fairfield
4-Jul,651288.2,926312.2,Fairfield
4-Aug,645215.58,960573.16,Fairfield
4-Sep,606123.11,890448.43,Fairfield
4-Oct,558680.79,836144.7,Fairfield
4-Nov,569307.87,840208.02,Fairfield
4-Dec,570826.02,833972.52,Fairfield
5-Jan,558113.49,866319.16,Fairfield
5-Feb,543426.29,905319.18,Fairfield
5-Mar,587487.88,869428.62,Fairfield
5-Apr,603643.8,877453.18,Fairfield
5-May,631549.47,918725.08,Fairfield
5-Jun,653580.27,990540.03,Fairfield
5-Jul,690298.26,1002138.07,Fairfield
5-Aug,675611.06,1062096.06,Fairfield
5-Sep,624205.87,942923.72,Fairfield
5-Oct,602175.08,900333.41,Fairfield
5-Nov,598503.28,885970.57,Fairfield
5-Dec,627877.67,944643.54,Fairfield
6-Jan,583378.11,907740.27,Fairfield
6-Feb,579820.93,893715.02,Fairfield
6-Mar,583378.11,905617.74,Fairfield
6-Apr,569149.38,898961.56,Fairfield
6-May,605432.65,943326.12,Fairfield
6-Jun,661636.15,1014677.43,Fairfield
6-Jul,654521.78,985408.95,Fairfield
6-Aug,633178.68,948494.82,Fairfield
6-Sep,569149.38,851809.69,Fairfield
6-Oct,583378.11,822849.24,Fairfield
6-Nov,580532.37,828167.04,Fairfield
6-Dec,562035.01,897774.53,Fairfield
7-Jan,567099.24,973922.28,Fairfield
7-Feb,575398.26,886031.48,Fairfield
7-Mar,574015.09,961757.9,Fairfield
7-Apr,610669.06,978828.05,Fairfield
7-May,627612.88,1030888.87,Fairfield
7-Jun,684668.6,1081431.18,Fairfield
7-Jul,691584.44,1105793.7,Fairfield
7-Aug,657005.22,1013358.64,Fairfield
7-Sep,553267.55,913088.37,Fairfield
7-Oct,567099.24,852946.48,Fairfield
7-Nov,591996.28,1001953.16,Fairfield
7-Dec,553267.55,871493.74,Fairfield
8-Jan,486304.36,736161.96,Fairfield
8-Feb,526274.58,862800.72,Fairfield
8-Mar,506289.47,829519.86,Fairfield
8-Apr,519612.88,873191.3,Fairfield
8-May,554253.73,875796.01,Fairfield
8-Jun,576237.36,930285.57,Fairfield
8-Jul,672832.06,958049.72,Fairfield
8-Aug,583565.23,961542.32,Fairfield
8-Sep,512951.17,756263.98,Fairfield
8-Oct,512951.17,720543.18,Fairfield
8-Nov,459657.54,675053.73,Fairfield
8-Dec,430679.13,627849.51,Fairfield
9-Jan,413868.51,617320.28,Fairfield
9-Feb,400986.8,598301.05,Fairfield
9-Mar,422372.77,687052.79,Fairfield
9-Apr,447768.6,646309.2,Fairfield
9-May,454451.71,670175.98,Fairfield
9-Jun,521282.85,762868.65,Fairfield
9-Jul,553361.79,853901.33,Fairfield
9-Aug,534649.07,817914.35,Fairfield
9-Sep,461134.82,752773.49,Fairfield
9-Oct,467817.94,765865.86,Fairfield
9-Nov,447768.6,671193.87,Fairfield
9-Dec,481184.17,734142.65,Fairfield
10-Jan,493162.56,774190.14,Fairfield
10-Feb,394530.05,637585.61,Fairfield
10-Mar,460285.05,702150.59,Fairfield
10-Apr,480011.56,794322.58,Fairfield
10-May,482641.76,762596.33,Fairfield
10-Jun,536560.86,811457.63,Fairfield
10-Jul,624672.57,1001329.21,Fairfield
10-Aug,558917.56,871444.5,Fairfield
10-Sep,486587.06,806250.18,Fairfield
10-Oct,483956.86,754519.21,Fairfield
10-Nov,486587.06,728777.29,Fairfield
